id,geometry_type,geometry_coordinates,from,to,startTime,endTime,category,roadNumbers,length,delay
4845b1991b84c574d2d8835e67d45f49,LineString,"((-73.9795706267, 40.7662001393), (-73.9798012967, 40.7658662184), (-73.9800306256, 40.7655255667), (-73.9805214698, 40.7648456545), (-73.9809801276, 40.7642354417), (-73.9814468319, 40.7636078284), (-73.9818947609, 40.762976146), (-73.9823400076, 40.7623579167), (-73.9826229806, 40.7619716634), (-73.9828040297, 40.761723556), (-73.9832586641, 40.7611053151), (-73.9836945231, 40.7604722756), (-73.9841639097, 40.7598419602), (-73.9844401772, 40.7594557557), (-73.9846118386, 40.759212972), (-73.985078543, 40.7585840414), (-73.9851737614, 40.7584432201), (-73.9855318363, 40.757964438))",Central Park S/W 59th St (7th Ave),Broadway/W 45th St (7th Ave),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),1044.4570144017,
16966b4ea5dc7e8fd8a1fd385efc0207,LineString,"((-73.9888497288, 40.7585343921), (-73.9875716562, 40.7579926279), (-73.9871921237, 40.7578290121), (-73.9859945173, 40.7573368289))",8th Ave,7th Ave,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),274.9012523882,
e45ba7c4c616a806a5cc17150aee052f,LineString,"((-73.9859945173, 40.7573368289), (-73.9864504929, 40.7567078171), (-73.9865886266, 40.7565268012), (-73.9867777224, 40.7562773402), (-73.9869426782, 40.7560533387), (-73.9874455924, 40.7553720598))",Broadway (7th Ave),W 34th St (7th Ave),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),250.343884451,
7ab36b7ff3cf473dbe5654902e12f985,LineString,"((-73.9819846149, 40.7654692568), (-73.9805214698, 40.7648456545), (-73.9799675937, 40.7646055569), (-73.9794834549, 40.7644017081))",Broadway,Avenue of the Americas,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),241.7910346598,
79bca7f6dc0c80953b6c92e375244d08,LineString,"((-73.980202287, 40.6948319164), (-73.9801969225, 40.6948010942), (-73.9801808293, 40.6947233077), (-73.9801674182, 40.6946670013), (-73.9801553483, 40.6946187024), (-73.9801365728, 40.6945704035), (-73.9801177974, 40.6945288409), (-73.9800949986, 40.6944912821), (-73.9800601299, 40.6944483849), (-73.9799729581, 40.694362527), (-73.9798656697, 40.6942659922), (-73.9797972734, 40.6942070164), (-73.9797758157, 40.6941895397), (-73.9794566329, 40.6939266896), (-73.9794378574, 40.693910611), (-73.9794016476, 40.6938770556), (-73.9793144758, 40.693792595), (-73.9792903359, 40.6937537012), (-73.9792474206, 40.6936665077), (-73.9792165752, 40.6935981256), (-73.9792125518, 40.6935605662), (-73.9792004819, 40.6934854475), (-73.9791173334, 40.6928497943), (-73.9789926107, 40.6919364692))",I-278/Brooklyn Queens Expy (Navy St),Flatbush Ave (Ashland Pl),2024-03-17 11:00:00+00:00,2024-03-17 11:29:00+00:00,6,(),349.9584353743,262.0
a027b315833aaff4da00302f476aa39b,LineString,"((-73.9856605823, 40.7580180877), (-73.9867522414, 40.7584686797), (-73.9871116574, 40.7586175642), (-73.9883763189, 40.7591607201))",7th Ave,8th Ave,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),261.664349816,
a5dfee19867757133248b53a720b99e4,LineString,"((-73.981794178, 40.758019421), (-73.9824969168, 40.7583144616), (-73.9829515512, 40.7585048691), (-73.9843664165, 40.7591084046), (-73.9846118386, 40.759212972), (-73.985066473, 40.7594074403))",Avenue of the Americas,Broadway,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),315.8877898115,
d00a01468a9db93d1830d9e8e09f85f5,LineString,"((-73.8971208627, 40.7524712447), (-73.8968794639, 40.7524847059), (-73.896790951, 40.752457847), (-73.8964261706, 40.7524967701), (-73.8961767251, 40.7525235654), (-73.8952594097, 40.7526147455), (-73.894327342, 40.7527113227), (-73.8933885689, 40.7528092331), (-73.8929956252, 40.7528534895), (-73.8924766178, 40.7529111436), (-73.8923170264, 40.7529286048), (-73.8915499146, 40.7530090537), (-73.890785485, 40.7530868356), (-73.8906258936, 40.7531028999), (-73.8896871204, 40.7532142708), (-73.8887738283, 40.753312117), (-73.8878176207, 40.7534086931), (-73.8868909175, 40.7535079359), (-73.8859642143, 40.7536045117), (-73.8850294645, 40.7537024208), (-73.8840947146, 40.7537975995), (-73.883162647, 40.753887508), (-73.8822359438, 40.753993417), (-73.8813199694, 40.754096659), (-73.8803838785, 40.754198631), (-73.8794504697, 40.7542884755), (-73.8785251076, 40.7543756531), (-73.87758097, 40.7544628305), (-73.8766609723, 40.7545620717), (-73.8757315869, 40.7546599794), (-73.8754995758, 40.7546854405), (-73.8752984102, 40.7547082348), (-73.8748115892, 40.7547712842), (-73.8743743892, 40.7548182061), (-73.873845994, 40.7548705249), (-73.8732800479, 40.7549174467), (-73.8726617987, 40.7549884961))",Brooklyn Queens Expy,Junction Blvd,2024-03-17 11:00:00+00:00,2024-03-18 00:00:00+00:00,0,(),2080.3792670274,
98e2c2cecd283bcaf1cd494ff86ddc98,LineString,"((-73.872704714, 40.755063609), (-73.8732974822, 40.7550032901), (-73.8738567228, 40.7549456379), (-73.8748223181, 40.7548517308), (-73.8753104801, 40.7548020786), (-73.8757476802, 40.7547564901), (-73.8766784067, 40.7546559158), (-73.8776010866, 40.7545513412), (-73.8785479064, 40.7544587669), (-73.8794638808, 40.7543608589), (-73.8803946073, 40.754260284), (-73.881328016, 40.7541610424), (-73.8822466726, 40.7540671976), (-73.8831706936, 40.7539719558), (-73.8841067846, 40.7538700469), (-73.8850468988, 40.7537815353), (-73.8854773934, 40.7537292156), (-73.8859870131, 40.7536782928), (-73.8869150574, 40.7535803836), (-73.887833714, 40.7534824744), (-73.8887845571, 40.7533845649), (-73.8892230983, 40.7533349117), (-73.8897018726, 40.753285322), (-73.8906352813, 40.7531807453), (-73.8915660078, 40.7530841688), (-73.8918020422, 40.7530600405), (-73.8921172018, 40.7530278483), (-73.8924927111, 40.7529889256), (-73.8929004068, 40.7529420024), (-73.8934100265, 40.752889682), (-73.8943434353, 40.7527945021), (-73.8952674563, 40.7526885277), (-73.8961901362, 40.7525946808), (-73.8966943915, 40.7525423602), (-73.8968070443, 40.752530296), (-73.8968794639, 40.7524847059), (-73.8971208627, 40.7524712447))",Junction Blvd,Brooklyn Queens Expy,2024-03-17 11:00:00+00:00,2024-03-18 00:00:00+00:00,0,(),2078.0220098553,
59d047825c4e39e6f85e1f1ac49d6f4a,LineString,"((-73.9695284362, 40.7486357215), (-73.9694814975, 40.7486451194), (-73.9694372411, 40.748634388), (-73.9685346777, 40.7482253219), (-73.9684045906, 40.7481234042), (-73.9683442409, 40.7480818116), (-73.9683348532, 40.7480644125), (-73.9683348532, 40.748041616), (-73.9683415587, 40.7480241534), (-73.9683482642, 40.7480134218), (-73.968357652, 40.7479973563), (-73.968409955, 40.7479544301), (-73.9684434826, 40.7479262359), (-73.9685199256, 40.7478913742))",Manhattan,Franklin Delano Roosevelt Drive Service Rd W,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),147.3932340251,
9a86b598d0a6a711979a16939de72054,LineString,"((-73.9677192862, 40.7126136591), (-73.9661367829, 40.7120624354))",Kent Ave,Wythe Ave,2024-03-17 10:59:30+00:00,2024-03-17 11:26:00+00:00,6,(),146.7905557798,430.0
24588a5c51717c8ecf3f64657469f9fd,LineString,"((-73.9866516585, 40.6999026497), (-73.9866100843, 40.699827538), (-73.9865430291, 40.6997068636), (-73.9864826794, 40.6995995972), (-73.9862949247, 40.6992575893), (-73.986092418, 40.6988981676), (-73.9860535259, 40.6988284564), (-73.9859663541, 40.6986714946), (-73.9858402903, 40.6984448844), (-73.9857678707, 40.6983188059), (-73.9857128854, 40.6982168753), (-73.9856646056, 40.6981296877), (-73.9856538768, 40.698108272))",Canal St/Bowery (Manhattan Bridge),Nassau St/Flatbush Ave (Manhattan Bridge),2024-03-17 10:59:00+00:00,2024-03-17 11:26:00+00:00,6,(),216.535822151,147.0
