category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.2726355591, 34.0429495898)",2024-03-16 06:24:30+00:00,2024-03-16 07:06:00+00:00,I-110/I-10/Santa Monica Fwy (CA-110),3rd St/4th St (CA-110),Feature
Road Closed,"(-118.2523540357, 34.0278996626)",2024-03-16 03:39:00+00:00,,San Pedro Street exit [14B],I-10 W,Feature
Jam,"(-118.2507822612, 34.0645614668)",2024-03-16 06:25:30+00:00,2024-03-16 07:10:00+00:00,Grand Ave/Temple St (US-101),Silver Lake Blvd (US-101),Feature
Road Works,"(-118.2501304844, 34.0615640584)",2024-03-14 14:04:00+00:00,,Sunset Blvd/Exit 24A (CA-110),3rd St/4th St (CA-110),Feature
Road Closed,"(-118.2490790585, 34.0265854196)",2024-03-16 02:01:38+00:00,2024-03-16 12:30:38+00:00,E 16th St,San Pedro Street exit [14B],Feature
Road Closed,"(-118.2472927073, 34.0615077436)",2024-03-16 06:32:30+00:00,,exit [3],CA-110 N,Feature
Jam,"(-118.2461111942, 34.0359663999)",2024-03-16 06:44:30+00:00,2024-03-16 07:06:00+00:00,E 8th St,E 7th St,Feature
Road Closed,"(-118.2447942296, 34.0600969443)",2024-03-16 05:01:00+00:00,2024-03-16 11:59:00+00:00,N Grand Ave,Los Angeles,Feature
Lane Closed,"(-118.2447057167, 34.0239219988)",2024-03-16 03:00:30+00:00,2024-03-16 11:30:00+00:00,Alameda St (I-10),San Pedro St (I-10),Feature
Road Closed,"(-118.2445823351, 34.0599682026)",2024-03-16 05:01:00+00:00,2024-03-16 11:59:00+00:00,N Grand Ave,US-101 N,Feature
Jam,"(-118.2444643179, 33.9741442196)",2024-03-16 06:27:30+00:00,2024-03-16 07:10:00+00:00,E Florence Ave,E 76th St,Feature
Road Closed,"(-118.2411786118, 33.9869075021)",2024-03-16 05:46:00+00:00,,Holmes Ave,S Alameda St,Feature
Road Works,"(-118.2378620604, 34.0254856745)",2024-03-16 02:55:30+00:00,,Alameda Street exit [15B],E 14th St,Feature
Road Works,"(-118.2336402634, 34.0537951062)",2024-03-15 03:06:00+00:00,,Vignes St/Exit 2B (US-101),Grand Ave/Temple St (US-101),Feature
Accident,"(-118.2327470878, 33.9674668704)",2024-03-16 06:23:00+00:00,,Nadeau St,Center St,Feature
Accident,"(-118.2302110592, 33.9630519508)",2024-03-16 06:14:00+00:00,,CA-42/Firestone Blvd (Santa Fe Ave),Nadeau St (Santa Fe Ave),Feature
Road Closed,"(-118.2265699604, 33.9085762717)",2024-03-15 07:00:00+00:00,2024-03-18 06:59:59+00:00,S Willowbrook Ave / N Willowbrook Ave,N Mona Blvd / S Mona Blvd,Feature
Road Closed,"(-118.2259543934, 33.9087465638)",2024-03-15 07:00:00+00:00,2024-03-18 06:59:59+00:00,N Mona Blvd / S Mona Blvd,S Willowbrook Ave / N Willowbrook Ave,Feature
Lane Closed,"(-118.2247313061, 34.0297088235)",2024-03-16 04:01:00+00:00,2024-03-16 11:30:00+00:00,I-5/US-101 (I-10),CA-60 (I-10),Feature
Road Closed,"(-118.2251872817, 34.0806359653)",2024-03-16 02:01:00+00:00,2024-03-16 15:59:00+00:00,N San Fernando Rd,CA-110 N,Feature
