category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.4347174266, 34.0824169266)",2024-03-12 01:07:30+00:00,2024-03-12 01:41:00+00:00,W Sunset Blvd (Beverly Glen Blvd),Mulholland Dr (Beverly Glen Blvd),Feature
Jam,"(-118.4345095554, 34.084923427)",2024-03-12 01:19:00+00:00,2024-03-12 01:41:00+00:00,N Beverly Glen Blvd / Parkwood Dr,N Beverly Glen Blvd,Feature
Road Closed,"(-118.4343928794, 34.1227640476)",2024-02-24 21:03:30+00:00,,Wallingford Dr,Mulholland Dr,Feature
Jam,"(-118.4339851836, 34.079376621)",2024-03-12 00:38:00+00:00,2024-03-12 01:42:00+00:00,Wilshire Blvd (Beverly Glen Blvd),W Sunset Blvd (Beverly Glen Blvd),Feature
Jam,"(-118.433849732, 34.0312282832)",2024-03-12 00:59:30+00:00,2024-03-12 01:45:00+00:00,exit [53B],I-10 W,Feature
Jam,"(-118.4371273914, 34.0083329895)",2024-03-12 00:51:30+00:00,2024-03-12 01:41:00+00:00,Palms Blvd (S Centinela Ave),Venice Blvd (S Centinela Ave),Feature
Jam,"(-118.4326802889, 34.0303525515)",2024-03-11 21:54:30+00:00,2024-03-12 02:55:00+00:00,exit [53B],exit [55B-C],Feature
Jam,"(-118.4339288572, 34.03070793)",2024-03-12 01:20:30+00:00,2024-03-12 01:34:00+00:00,exit [3B],I-405 S,Feature
Road Closed,"(-118.4316959182, 34.0391126572)",2024-03-11 20:50:00+00:00,,Tennessee Ave,W Pico Blvd,Feature
Road Closed,"(-118.431359301, 34.0387586335)",2024-03-11 20:54:00+00:00,,W Pico Blvd,Tennessee Ave,Feature
Jam,"(-118.4347442487, 34.3108861366)",2024-03-12 00:54:30+00:00,2024-03-12 01:43:00+00:00,Polk St (Foothill Blvd),Hubbard St (Foothill Blvd),Feature
Jam,"(-118.4315738777, 34.1189432202)",2024-03-11 21:57:00+00:00,2024-03-12 02:14:00+00:00,Hutton Dr,Mulholland Dr,Feature
Jam,"(-118.4296775559, 34.031775446)",2024-03-11 22:04:00+00:00,2024-03-12 02:07:00+00:00,I-10 W,I-405 N,Feature
Jam,"(-118.431411604, 34.0278996626)",2024-03-12 01:14:30+00:00,2024-03-12 02:00:00+00:00,exit [3B],I-405 S,Feature
Jam,"(-118.4366110662, 34.0237060871)",2024-03-12 01:06:30+00:00,2024-03-12 01:41:00+00:00,S Barrington Ave (National Blvd),I-10/Overland Ave (National Blvd),Feature
Jam,"(-118.4296856025, 34.0007074502)",2024-03-12 01:17:30+00:00,2024-03-12 01:41:00+00:00,S Centinela Ave,Grand View Blvd,Feature
Jam,"(-118.4333065847, 34.0312122371)",2024-03-12 01:16:00+00:00,2024-03-12 01:57:00+00:00,I-10 E,I-10 E,Feature
Jam,"(-118.4280695716, 33.9967968226)",2024-03-12 01:18:30+00:00,2024-03-12 01:41:00+00:00,S Centinela Ave,W Washington Blvd,Feature
Jam,"(-118.427869747, 34.2437598181)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,Osborne St (Arleta Ave),Terra Bella St (Arleta Ave),Feature
Jam,"(-118.4276323715, 34.2216678353)",2024-03-12 01:16:00+00:00,2024-03-12 01:41:00+00:00,Coldwater Canyon Ave/Sheldon St (Roscoe Blvd),Woodman Ave (Roscoe Blvd),Feature
Jam,"(-118.4269551138, 34.3045239339)",2024-03-12 00:05:30+00:00,2024-03-12 01:41:00+00:00,Maclay St (Foothill Blvd),Hubbard St (Foothill Blvd),Feature
Jam,"(-118.4281688133, 34.0315046089)",2024-03-12 01:19:00+00:00,2024-03-12 01:55:00+00:00,I-10 E,I-10 E,Feature
Jam,"(-118.4258151749, 34.193241793)",2024-03-12 00:56:00+00:00,2024-03-12 01:41:00+00:00,Vanowen St,Kittridge St,Feature
Jam,"(-118.423185269, 34.0433411703)",2024-03-12 01:18:00+00:00,2024-03-12 01:41:00+00:00,W Pico Blvd,W Olympic Blvd,Feature
Jam,"(-118.4255818227, 33.994660411)",2024-03-11 21:58:30+00:00,2024-03-12 01:42:00+00:00,Washington Pl (S Centinela Ave),Culver Blvd (S Centinela Ave),Feature
Jam,"(-118.4230015377, 33.9641194136)",2024-03-12 01:07:30+00:00,2024-03-12 01:42:00+00:00,Jefferson Blvd (CA-1),Manchester Ave (CA-1),Feature
Jam,"(-118.4185101787, 34.0125118307)",2024-03-11 22:11:30+00:00,2024-03-12 03:00:00+00:00,Washington Blvd exit [52],Santa Monica Blvd (CA-2) exit [55A],Feature
Jam,"(-118.4184042314, 34.012380446)",2024-03-11 22:07:30+00:00,2024-03-12 03:28:00+00:00,Venice Blvd (I-405),Ventura Blvd (I-405),Feature
Jam,"(-118.4223953584, 34.0148171784)",2024-03-12 01:01:00+00:00,2024-03-12 01:45:00+00:00,Palms Blvd (Sawtelle Blvd),I-405/Venice Blvd/San Diego Fwy (Sawtelle Blvd),Feature
Jam,"(-118.4184136191, 34.0118976351)",2024-03-12 01:16:30+00:00,2024-03-12 01:41:00+00:00,Venice Blvd exit [52],Sawtelle Blvd / Matteson Ave,Feature
Jam,"(-118.4277959863, 34.0404631706)",2024-03-12 01:06:00+00:00,2024-03-12 01:42:00+00:00,Westwood Blvd (W Pico Blvd),S Beverly Glen Blvd (W Pico Blvd),Feature
Jam,"(-118.4168163637, 34.0315622634)",2024-03-12 01:19:30+00:00,2024-03-12 01:45:00+00:00,Palms Blvd (Overland Ave),W Pico Blvd (Overland Ave),Feature
Jam,"(-118.4183546105, 34.0609807017)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,CA-2/Santa Monica Blvd (Avenue of the Stars),W Olympic Blvd (Avenue of the Stars),Feature
Jam,"(-118.4199357728, 34.016363514)",2024-03-12 01:04:30+00:00,2024-03-12 01:50:00+00:00,Palms Blvd (Sepulveda Blvd/CA-1),I-405/San Diego Fwy (2) (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4182728032, 34.0096110375)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,Sawtelle Blvd / Matteson Ave,I-405 S,Feature
Jam,"(-118.43673713, 34.0337240726)",2024-03-11 20:10:30+00:00,2024-03-12 03:05:00+00:00,Olympic Blvd exit [54],Slauson Ave exit [50B],Feature
Jam,"(-118.4159982899, 34.0302828093)",2024-03-12 01:06:30+00:00,2024-03-12 01:47:00+00:00,I-10/National Blvd (Overland Ave),Palms Blvd (Overland Ave),Feature
Jam,"(-118.4113889137, 34.2918585374)",2024-03-12 00:16:30+00:00,2024-03-12 02:15:00+00:00,Osborne St (I-210),Hubbard St (I-210),Feature
Road Closed,"(-118.4096736411, 34.1228015868)",2024-02-06 00:41:00+00:00,,Hewitt Hwy,Beverly Pl,Feature
Road Closed,"(-118.4173836509, 34.1055630306)",2024-02-05 21:25:30+00:00,,Beverly Pl,Lime Orchard Rd,Feature
Jam,"(-118.4079690972, 34.007089803)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Overland Ave (Culver Blvd),I-405/Sawtelle Blvd/San Diego Fwy (Culver Blvd),Feature
Jam,"(-118.4071081081, 34.2107941397)",2024-03-11 22:15:00+00:00,2024-03-12 01:43:00+00:00,Hollywood Fwy,I-5 N,Feature
Jam,"(-118.4106057087, 34.0016985595)",2024-03-12 01:17:30+00:00,2024-03-12 01:41:00+00:00,Los Angeles,I-405 S,Feature
Jam,"(-118.4067755142, 34.1284449741)",2024-03-12 00:52:33+00:00,2024-03-12 02:09:00+00:00,Mulholland Dr (Coldwater Canyon Dr),Ventura Blvd (Coldwater Canyon Ave),Feature
Jam,"(-118.4071644345, 33.9801161238)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Millennium Dr,S Lake Center Dr,Feature
Jam,"(-118.4058836797, 34.2063765708)",2024-03-11 21:39:00+00:00,2024-03-12 01:59:00+00:00,Sherman Way (CA-170),I-5/Golden Hwy (CA-170),Feature
Jam,"(-118.4110227922, 34.023948814)",2024-03-12 01:11:00+00:00,2024-03-12 01:52:00+00:00,Palms Blvd (Overland Ave),Culver Blvd (Overland Ave),Feature
Jam,"(-118.4078041414, 34.0465517435)",2024-03-12 01:18:30+00:00,2024-03-12 01:41:00+00:00,W Pico Blvd (Motor Ave),Club Dr (Motor Ave),Feature
Jam,"(-118.4122767249, 34.1939405044)",2024-03-11 20:55:00+00:00,2024-03-12 01:50:00+00:00,Coldwater Canyon Ave (Vanowen St),Whitsett Ave (Vanowen St),Feature
Jam,"(-118.4049435655, 34.2318427756)",2024-03-11 21:40:30+00:00,2024-03-12 02:30:00+00:00,Sheldon St exit [153A],exit [155A],Feature
Road Closed,"(-118.4034884671, 33.8962582018)",2024-02-19 22:34:30+00:00,,Pacific Ave,Laurel Ave,Feature
Road Closed,"(-118.4043709138, 33.8962595237)",2024-02-20 19:13:00+00:00,,Laurel Ave,Pacific Ave,Feature
Accident,"(-118.4043145875, 34.2315598277)",2024-03-12 01:05:00+00:00,,CA-170 (I-5),Sheldon St (I-5),Feature
Jam,"(-118.4025604228, 34.1975976559)",2024-03-11 22:46:30+00:00,2024-03-12 01:43:00+00:00,exit [9],Sherman Way,Feature
Jam,"(-118.401331971, 34.031103596)",2024-03-12 01:15:00+00:00,2024-03-12 01:41:00+00:00,I-10/Robertson Blvd (National Blvd),I-10/Palms Blvd (National Blvd),Feature
Jam,"(-118.4012769857, 34.1430402082)",2024-03-12 01:16:30+00:00,2024-03-12 01:41:00+00:00,Laurel Canyon Blvd (Ventura Blvd),Whitsett Ave/Laurel Terrace Dr (Ventura Blvd),Feature
Jam,"(-118.4011147121, 34.2012535396)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Lankershim Blvd (Sherman Way),Coldwater Canyon Ave (Sherman Way),Feature
Jam,"(-118.4123665789, 34.0656102257)",2024-03-12 00:25:00+00:00,2024-03-12 01:45:00+00:00,S Beverly Glen Blvd (Santa Monica Blvd/CA-2),N Doheny Dr/Melrose Ave (Santa Monica Blvd/CA-2),Feature
Road Closed,"(-118.401627014, 34.0730708013)",2024-02-27 16:31:00+00:00,2024-03-14 06:59:00+00:00,Santa Monica Blvd,Santa Monica Blvd,Feature
Road Closed,"(-118.4005058507, 34.0719402071)",2024-03-11 15:48:00+00:00,,Santa Monica Blvd,Santa Monica Blvd,Feature
Jam,"(-118.4058729509, 34.1029841275)",2024-03-12 00:52:33+00:00,2024-03-12 02:09:00+00:00,N Beverly Dr (Coldwater Canyon Dr),Franklin Canyon Dr/Mulholland Dr (Coldwater Canyon Ave/Mulholland Dr),Feature
Jam,"(-118.409865419, 34.0010548227)",2024-03-11 20:01:30+00:00,2024-03-12 02:33:00+00:00,Washington Blvd exit [51],H Hughes Pkwy exit [49],Feature
Road Closed,"(-118.3969465593, 34.0670773831)",2024-02-20 23:53:30+00:00,2024-03-12 06:59:00+00:00,Wilshire Blvd,Charleville Blvd,Feature
Jam,"(-118.395826737, 33.9071842186)",2024-03-12 00:25:30+00:00,2024-03-12 01:41:00+00:00,South Bay Cities,S Hughes Way,Feature
Jam,"(-118.3955504695, 33.9976953462)",2024-03-12 01:11:30+00:00,2024-03-12 01:42:00+00:00,Overland Ave (Jefferson Blvd),Sepulveda Blvd (Jefferson Blvd),Feature
Jam,"(-118.3972590366, 33.9972071704)",2024-03-12 01:07:30+00:00,2024-03-12 01:47:00+00:00,Braddock Dr (Sepulveda Blvd/CA-1),Jefferson Blvd/Playa St (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.3999171058, 33.9871515851)",2024-03-12 00:36:30+00:00,2024-03-12 01:41:00+00:00,Jefferson Blvd,I-405 S,Feature
Jam,"(-118.3951602081, 33.8723262312)",2024-03-12 01:15:00+00:00,2024-03-12 01:41:00+00:00,Pacific Coast Hwy,Artesia Blvd,Feature
Road Works,"(-118.3961164156, 33.9436085771)",2024-03-10 19:28:30+00:00,,S Sepulveda Blvd,W Century Blvd,Feature
Jam,"(-118.3938539723, 34.0570915311)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,Whitworth Dr / S Rexford Dr,W Pico Blvd,Feature
Jam,"(-118.3949509958, 34.0010293205)",2024-03-12 01:11:30+00:00,2024-03-12 01:42:00+00:00,Sepulveda Blvd (Jefferson Blvd),Overland Ave (Jefferson Blvd),Feature
Jam,"(-118.3960198561, 33.9445084972)",2024-03-12 00:13:00+00:00,2024-03-12 01:41:00+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3990132013, 34.143238681)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Whitsett Ave/Laurel Terrace Dr (Ventura Blvd),Colfax Ave (Ventura Blvd),Feature
Road Closed,"(-118.3901149729, 33.945585371)",2024-03-11 12:05:04+00:00,2024-03-13 06:59:00+00:00,W Century Blvd,W Century Blvd,Feature
Road Closed,"(-118.3901136318, 33.9453895642)",2024-03-09 13:28:00+00:00,2024-03-13 06:59:00+00:00,W Century Blvd,W Century Blvd,Feature
Jam,"(-118.3897206882, 34.0621997675)",2024-03-12 01:12:00+00:00,2024-03-12 01:41:00+00:00,W Pico Blvd (S Doheny Dr),Wilshire Blvd (Doheny Dr),Feature
Jam,"(-118.3965670267, 34.0245361769)",2024-03-11 22:07:00+00:00,2024-03-12 01:41:00+00:00,Clarington Ave (Venice Blvd),Cattaraugus Ave (Venice Blvd),Feature
Jam,"(-118.3892781237, 34.0224735463)",2024-03-12 01:13:00+00:00,2024-03-12 01:41:00+00:00,Ince Blvd,Higuera St,Feature
Jam,"(-118.3914560774, 33.9823142033)",2024-03-12 01:18:30+00:00,2024-03-12 01:41:00+00:00,Bristol Pkwy,Green Valley Cir / Fox Hills Park,Feature
Road Closed,"(-118.4001705745, 34.1235110813)",2024-02-05 17:10:00+00:00,,Coldwater Canyon Dr (Mulholland Dr),Laurel Pass Ave (Mulholland Dr),Feature
Road Closed,"(-118.3868735233, 34.1218681675)",2024-02-05 14:10:00+00:00,,Laurel Pass Ave (Mulholland Dr),Coldwater Canyon Dr (Mulholland Dr),Feature
Jam,"(-118.3916210333, 34.0798741823)",2024-03-11 21:50:00+00:00,2024-03-12 01:42:00+00:00,N Beverly Dr (Santa Monica Blvd/CA-2),N San Vicente Blvd (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.4235674838, 34.1563533602)",2024-03-11 17:33:30+00:00,2024-03-12 02:29:00+00:00,Woodman Ave (US-101),CA-170/CA-134 (US-101),Feature
Jam,"(-118.3877264658, 34.0593687247)",2024-03-11 22:33:00+00:00,2024-03-12 01:41:00+00:00,S Doheny Dr (W Olympic Blvd),S la Cienega Blvd (W Olympic Blvd),Feature
Jam,"(-118.3982822994, 33.9865038461)",2024-03-11 22:11:30+00:00,2024-03-12 02:31:00+00:00,exit [50A],Florence Ave exit [47],Feature
Jam,"(-118.3895557323, 34.0807419049)",2024-03-12 01:19:30+00:00,2024-03-12 01:43:00+00:00,CA-2/N Doheny Dr/Santa Monica Blvd (Melrose Ave),N San Vicente Blvd (Melrose Ave),Feature
Jam,"(-118.3831854859, 34.0723425543)",2024-03-12 00:21:30+00:00,2024-03-12 01:41:00+00:00,Los Angeles,S Robertson Blvd,Feature
Jam,"(-118.3824076453, 34.0609216783)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Chalmers Dr,W Olympic Blvd,Feature
Jam,"(-118.3819530109, 34.0818241332)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Melrose Ave,Melrose Ave,Feature
Jam,"(-118.3801116744, 33.9798184317)",2024-03-12 01:13:30+00:00,2024-03-12 01:42:00+00:00,Senford Ave,W Centinela Ave,Feature
Jam,"(-118.3786096374, 34.0848617824)",2024-03-12 01:14:30+00:00,2024-03-12 01:41:00+00:00,Sherwood Dr,Melrose Ave,Feature
Road Closed,"(-118.3775582114, 34.0848523413)",2024-03-11 21:25:00+00:00,,Sherwood Dr,Santa Monica Blvd,Feature
Jam,"(-118.386445711, 34.0187091215)",2024-03-12 01:20:30+00:00,2024-03-12 01:41:00+00:00,Duquesne Ave (Jefferson Blvd),Rodeo Rd/Higuera St (Jefferson Blvd),Feature
Jam,"(-118.3813307384, 34.0819086199)",2024-03-12 01:09:30+00:00,2024-03-12 01:41:00+00:00,N San Vicente Blvd (Melrose Ave),N la Cienega Blvd (Melrose Ave),Feature
Jam,"(-118.3764665523, 34.0733805942)",2024-03-12 00:18:30+00:00,2024-03-12 01:47:00+00:00,S San Vicente Blvd (La Cienega Blvd),Melrose Ave (La Cienega Blvd),Feature
Jam,"(-118.3835730651, 34.0906687435)",2024-03-11 23:02:00+00:00,2024-03-12 01:42:00+00:00,N San Vicente Blvd (W Sunset Blvd),N la Cienega Blvd (W Sunset Blvd),Feature
Jam,"(-118.376218448, 34.0609552175)",2024-03-11 22:34:30+00:00,2024-03-12 01:53:00+00:00,Wilshire Blvd (La Cienega Blvd),W Pico Blvd (La Cienega Blvd),Feature
Jam,"(-118.4393603304, 34.0379955016)",2024-03-11 23:12:32+00:00,2024-03-12 02:28:00+00:00,CA-2/Santa Monica Blvd (I-405),Florence Ave (I-405),Feature
Jam,"(-118.374049882, 34.1504685711)",2024-03-11 20:15:30+00:00,2024-03-12 02:30:00+00:00,Vineland Ave (US-101),Burbank Blvd (US-101),Feature
Jam,"(-118.3824854294, 33.9888748806)",2024-03-11 23:50:00+00:00,2024-03-12 01:41:00+00:00,CA-90 (Slauson Ave),S la Cienega Blvd (Slauson Ave),Feature
Jam,"(-118.3727396229, 34.224228007)",2024-03-12 01:18:30+00:00,2024-03-12 02:15:00+00:00,exit [150B],Sheldon St exit [153A],Feature
Jam,"(-118.3768366972, 34.0218714413)",2024-03-11 23:52:00+00:00,2024-03-12 01:41:00+00:00,W Jefferson Blvd (Rodeo Dr),S la Cienega Blvd (Rodeo Dr),Feature
Jam,"(-118.3733283678, 34.0124702823)",2024-03-12 00:52:05+00:00,2024-03-12 02:00:00+00:00,Stocker St (S la Cienega Blvd),Jefferson Blvd (S la Cienega Blvd),Feature
Jam,"(-118.3736274341, 34.0320637869)",2024-03-11 22:06:00+00:00,2024-03-12 01:42:00+00:00,Washington Blvd (Culver City) (South) (La Cienega Blvd),Jefferson Blvd (S la Cienega Blvd),Feature
Jam,"(-118.3745688895, 34.1587405227)",2024-03-12 01:05:30+00:00,2024-03-12 01:41:00+00:00,Bellflower Ave,Lankershim Blvd,Feature
Jam,"(-118.377822409, 34.0367026695)",2024-03-11 22:59:30+00:00,2024-03-12 01:42:00+00:00,exit [7A],I-10 E,Feature
Jam,"(-118.3837192455, 34.0850602529)",2024-03-11 21:50:00+00:00,2024-03-12 01:42:00+00:00,N San Vicente Blvd (Santa Monica Blvd/CA-2),N Crescent Heights Blvd (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.3698455194, 33.9183166683)",2024-03-12 01:19:30+00:00,2024-03-12 02:34:00+00:00,exit [45],exit [42B],Feature
Jam,"(-118.3697301844, 33.9893710965)",2024-03-11 23:49:00+00:00,2024-03-12 01:55:00+00:00,Stocker St (S la Cienega Blvd),Centinela Ave (S la Cienega Blvd),Feature
Dangerous Conditions,"(-118.3695276776, 33.9980386311)",2024-03-12 00:38:00+00:00,,Slauson Ave (S la Cienega Blvd),Stocker St (S la Cienega Blvd),Feature
Jam,"(-118.369339923, 34.2224175287)",2024-03-11 21:21:00+00:00,2024-03-12 02:25:00+00:00,Sunland Blvd (I-5),Van Nuys Blvd (I-5),Feature
Dangerous Conditions,"(-118.3688638309, 33.9231044126)",2024-03-12 01:17:00+00:00,,I-105/Imperial Hwy (I-405),El Segundo Blvd (I-405),Feature
Jam,"(-118.3687028984, 34.0376482108)",2024-03-11 22:19:00+00:00,2024-03-12 01:55:00+00:00,W Pico Blvd (S Fairfax Ave),La Cienega Blvd (S Fairfax Ave),Feature
Jam,"(-118.3801277677, 33.9018197563)",2024-03-12 01:18:00+00:00,2024-03-12 01:44:00+00:00,Sepulveda Blvd (Rosecrans Ave),Inglewood Ave (Rosecrans Ave),Feature
Jam,"(-118.3659066955, 34.0880079604)",2024-03-12 01:18:30+00:00,2024-03-12 01:41:00+00:00,Willoughby Ave,Santa Monica Blvd,Feature
Road Closed,"(-118.3648606339, 34.2066354107)",2024-03-10 20:39:30+00:00,,Cohasset St,Valerio St,Feature
Jam,"(-118.3646272818, 34.0907948008)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,N Fairfax Ave (Santa Monica Blvd/CA-2),N la Cienega Blvd (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.3695665697, 34.0968847555)",2024-03-12 01:15:30+00:00,2024-03-12 01:41:00+00:00,N la Cienega Blvd (W Sunset Blvd),N Gardner St (W Sunset Blvd),Feature
Jam,"(-118.375268946, 34.0594853847)",2024-03-12 00:48:30+00:00,2024-03-12 01:49:00+00:00,S la Cienega Blvd (W Olympic Blvd),San Vicente Blvd (W Olympic Blvd),Feature
Jam,"(-118.3661333421, 34.0601452051)",2024-03-11 22:18:30+00:00,2024-03-12 01:42:00+00:00,Wilshire Blvd (San Vicente Blvd),Hauser Blvd (San Vicente Blvd),Feature
Jam,"(-118.3631480435, 34.0595389927)",2024-03-11 22:26:30+00:00,2024-03-12 01:47:00+00:00,W Pico Blvd (S Fairfax Ave),Wilshire Blvd (S Fairfax Ave),Feature
Jam,"(-118.3652790585, 34.0634040952)",2024-03-11 21:40:30+00:00,2024-03-12 01:41:00+00:00,San Vicente Blvd (Wilshire Blvd),S Fairfax Ave (Wilshire Blvd),Feature
Jam,"(-118.3692581156, 34.0760628039)",2024-03-11 22:26:30+00:00,2024-03-12 01:51:00+00:00,N la Cienega Blvd (Beverly Blvd),N Fairfax Ave (Beverly Blvd),Feature
Jam,"(-118.3712469736, 34.07279718)",2024-03-12 00:49:00+00:00,2024-03-12 01:41:00+00:00,La Cienega Blvd (W 3rd St),S Fairfax Ave (W 3rd St),Feature
Jam,"(-118.3656867543, 34.0653607439)",2024-03-12 01:03:30+00:00,2024-03-12 01:42:00+00:00,S La Jolla Ave,S Fairfax Ave,Feature
Road Closed,"(-118.365682731, 33.8049437627)",2024-02-07 00:13:00+00:00,,Paseo de Las Tortugas,Mesa St,Feature
Road Closed,"(-118.3602083424, 33.8053635319)",2024-02-06 20:13:00+00:00,,Mesa St,Paseo de Las Tortugas,Feature
Road Closed,"(-118.359638373, 34.0621139419)",2024-02-23 15:00:37+00:00,2024-03-26 06:59:00+00:00,S Genesee Ave,Wilshire Blvd,Feature
Road Closed,"(-118.3593446711, 34.0626879167)",2024-02-23 15:00:37+00:00,2024-03-26 06:59:00+00:00,Wilshire Blvd,S Genesee Ave,Feature
Jam,"(-118.3590831557, 33.9215125618)",2024-03-12 00:59:30+00:00,2024-03-12 01:41:00+00:00,W Broadway,W 120th St,Feature
Jam,"(-118.3701982299, 33.8981531645)",2024-03-12 01:11:30+00:00,2024-03-12 01:36:00+00:00,Rosecrans Ave EAST exit [43A],exit [40B],Feature
Jam,"(-118.3572377959, 34.0908081978)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,N Gardner St/N Vista St (Santa Monica Blvd/CA-2),N Fairfax Ave (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.3533231119, 33.9609249106)",2024-03-12 01:11:30+00:00,2024-03-12 01:41:00+00:00,E Arbor Vitae St (S la Brea Ave),Centinela Ave (N la Brea Ave),Feature
Jam,"(-118.3603867093, 34.0761083478)",2024-03-11 22:26:30+00:00,2024-03-12 01:51:00+00:00,N Fairfax Ave (Beverly Blvd),N Gardner St (Beverly Blvd),Feature
Jam,"(-118.352388362, 33.8976140468)",2024-03-12 01:12:30+00:00,2024-03-12 01:41:00+00:00,Inglewood,W 147th St,Feature
Jam,"(-118.3523803154, 34.0293373248)",2024-03-11 22:10:00+00:00,2024-03-12 01:42:00+00:00,I-10 (S la Brea Ave),W Jefferson Blvd/S Mansfield Ave (S la Brea Ave),Feature
Jam,"(-118.3636321822, 33.9310840144)",2024-03-12 01:17:30+00:00,2024-03-12 02:58:00+00:00,W Imperial Hwy,Inglewood,Feature
Road Closed,"(-118.34874324, 34.2611030301)",2024-03-10 01:29:30+00:00,,Mary Bell Ave,Johanna Ave,Feature
Road Works,"(-118.3476488987, 34.1522106751)",2024-03-11 19:54:30+00:00,,W Riverside Dr,W National Ave,Feature
Jam,"(-118.345715026, 34.1032053896)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,N La Brea Ave,Franklin Ave,Feature
Jam,"(-118.3449733952, 33.9255452344)",2024-03-12 01:02:30+00:00,2024-03-12 01:41:00+00:00,W 120th St,W 118th St,Feature
Jam,"(-118.3446609178, 34.0998003321)",2024-03-12 00:48:30+00:00,2024-03-12 01:43:00+00:00,W Sunset Blvd (N la Brea Ave),Franklin Ave (N la Brea Ave),Feature
Road Closed,"(-118.3459497193, 33.944531235)",2024-02-27 10:34:30+00:00,,S Freeman Ave,S Prairie Ave,Feature
Road Closed,"(-118.3443712393, 33.9445366587)",2024-02-14 12:47:30+00:00,,S Prairie Ave,S Freeman Ave,Feature
Jam,"(-118.3490825394, 34.0907398243)",2024-03-12 00:21:00+00:00,2024-03-12 01:49:00+00:00,N Gardner St/N Vista St (Santa Monica Blvd/CA-2),N la Brea Ave (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.3455084959, 34.0584285643)",2024-03-11 22:07:30+00:00,2024-03-12 01:49:00+00:00,W Olympic Blvd (S la Brea Ave),Wilshire Blvd (S la Brea Ave),Feature
Jam,"(-118.3440279165, 34.0705763088)",2024-03-11 21:36:30+00:00,2024-03-12 01:47:00+00:00,Beverly Blvd (N la Brea Ave),Wilshire Blvd (S la Brea Ave),Feature
Jam,"(-118.3496605554, 33.9454070172)",2024-03-12 01:15:00+00:00,2024-03-12 01:41:00+00:00,Hawthorne Blvd/S la Brea Ave (Century Blvd),S Prairie Ave/S Avenue of Champions (Century Blvd),Feature
Jam,"(-118.3438441852, 33.8994902647)",2024-03-12 01:14:00+00:00,2024-03-12 01:41:00+00:00,W Rosecrans Ave (Prairie Ave),Marine Ave (Prairie Ave),Feature
Jam,"(-118.3433372477, 34.1028204709)",2024-03-12 01:11:00+00:00,2024-03-12 01:42:00+00:00,Hollywood Blvd,Franklin Ave,Feature
Jam,"(-118.3418620327, 34.0759407514)",2024-03-12 01:16:00+00:00,2024-03-12 01:41:00+00:00,Beverly Blvd,W 1st St / S Orange Dr,Feature
Jam,"(-118.3417440155, 34.1015424394)",2024-03-12 01:16:00+00:00,2024-03-12 01:46:00+00:00,Hollywood Blvd,Franklin Ave,Feature
Jam,"(-118.3423206905, 33.8739529614)",2024-03-12 01:17:00+00:00,2024-03-12 01:41:00+00:00,exit [40],Artesia Blvd,Feature
Jam,"(-118.3414006928, 34.0992129354)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,Lanewood Ave,W Sunset Blvd,Feature
Road Closed,"(-118.3404874006, 34.1029559492)",2024-03-05 19:41:30+00:00,2024-03-16 15:00:00+00:00,Orchid Ave,N Orange Dr,Feature
Jam,"(-118.3428584734, 33.8406305084)",2024-03-12 01:12:30+00:00,2024-03-12 01:41:00+00:00,Madrona Ave,Maple Ave,Feature
Jam,"(-118.3404954472, 34.0557598239)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Edgewood Pl,W Olympic Blvd,Feature
Jam,"(-118.3400823871, 33.8405728637)",2024-03-12 01:14:30+00:00,2024-03-12 01:41:00+00:00,Civic Center Dr N,Torrance Blvd,Feature
Road Closed,"(-118.3414114216, 34.1015424394)",2024-02-29 05:53:30+00:00,2024-03-18 06:59:00+00:00,N Gardner St (Hollywood Blvd),N Highland Ave (Hollywood Blvd),Feature
